	BJ24L	BJ24S	KJ25L	KJ25S	KB14L	KB14S	KJ15L	KJ15S	BB24L	BB24S	BJ25L	BJ25S	KM14L	KM14S	KM15L	KM15S	BJ14L	BJ14S	KM25L	KM25S	BM24L	BM24S	BM15L	BM15S	BB14L	BB14S	KB15L	KB15S	KJ14L	KJ14S	BM25L	BM25S	KJ24L	KJ24S	BJ15L	BJ15S	BM14L	BM14S	BB15L	BB15S	KB24L	KB24S	KB25L	KB25S	KM24L	KM24S	BB25L	BB25S
"CBM6,GH11"	0	1.413	1.992	2.347	0	0.869	7.581	4.599	0	0.413	0.394	1.828	0.379	1.839	0	0.541	0.987	0	0	2.028	0	2.882	0	1.365	0	1.862	0	1.743	0.789	3.905	0	1.323	0.44	0.93	0	0.458	0	0.984	0	0.518	0	0	0	0	0	1.68	3.801	1.327
"CBM6,GH141"	0.425	0	0.551	1.136	0.299	0	0	0	0	0.8	0	0	0.367	0.736	0	0	0.478	0	0	0	0.548	1.357	0	0.643	0	0	0	0	0	0	0	0.427	0.851	0	0.294	0	0	0	0	0	0	0	0	0.998	0	0.532	2.063	0.531
"CBM6,GH27"	0	0	0	1.107	0.583	0	1.589	3.131	0.642	4.447	0.743	0	1.43	3.373	2.195	2.042	2.188	0	0.709	2.256	0.534	0.331	0	1.692	0.383	0.826	0.51	0.87	1.377	1.058	1.085	0.416	0	2.686	0	0	0.195	3.422	1.446	0.489	0.406	1.483	0.633	0	1.542	0.35	0.804	0.699
"CBM6,GH3"	0	0.394	0.317	0.327	0	0	0.469	0	0	0	1.316	0.582	0.422	0.424	2.24	2.413	0.55	0.367	0.419	0.467	0	0.781	2.144	0.37	0	0.488	0.904	0.343	0	0.308	0	0	0.245	0.17	0	0.255	0.691	0.58	0	0	0	0	0.374	0.575	0	0.306	0	0
"CBM6,GH30"	0.911	0.734	1.399	2.437	0	0	2.508	1.986	0.967	0.783	0	1.578	0.897	3.379	1.14	0	0.512	0	0	1.589	0.536	0.728	0	0.629	0.384	0	0	0	1.602	2.56	0	1.67	0.872	0.576	0.287	0.476	1.173	0.657	0.581	0.245	0.407	0.633	0	0	1.101	1.402	0.664	1.843
"CBM6,GH39"	0.678	1.092	0.879	0.227	0	0.671	0.976	0	1.315	1.277	0	2.622	0	0.588	0.444	0	0	0	0	0	0.437	1.083	0	0	0	0.677	0	0.237	0.914	0	0	0.341	0	0	0	0	0	0	0	0	0	0	0.519	0	0.29	0.212	0	0.212
"CBM6,GH43"	27.398	41.001	15.656	56.666	23.603	51.719	43.504	75.643	23.36	49.705	32.12	33.868	46.41	59.625	37.674	48.221	20.49	26.805	20.178	84.178	36.142	50.623	28.918	62.616	53.523	60.383	25.869	55.424	37.816	59.146	44.424	65.398	23.523	49.183	25.13	69.97	23.423	47.216	13.397	15.775	41.738	53.254	14.943	22.628	39.388	60.299	18.735	45.851
"CBM6,GH43,GH97"	0	0	0.634	0.327	1.549	0	0.469	0	0	0	0	0	1.055	0	0.32	0.603	0	0	0	0	0.63	0	0	0	0.226	0	0.903	0.684	1.317	0.308	0.427	0.246	0.489	0.678	0.338	0	0.46	0	0	0	1.437	0.372	0.374	0.574	0	0	0.475	0.305
"CBM6,GH5"	0.291	0	1.525	4.396	1.315	0.814	4.678	5.358	0.451	0	0.343	1.956	2.4	1.375	1.262	0.718	2.246	0.617	0	0.786	2.358	0	0.928	0	0.919	0	0.759	0	2.001	3.592	0.763	1.153	0.704	0.531	0.403	1.467	0.36	1.3	0	0.485	0.571	0	0	0	1.309	0.365	2.313	0.514
"CBM6,GH76"	0	0.831	0	0	0	0	0	0	0	0	0	0.614	0	1.341	0	0	0	0	0	0	0	0.412	0	0	0.954	0	0	0.361	0	0	0	0.518	0	0.716	0	0.808	0	0	0	0	0.506	0	0	0	0	0	0	0
"CBM61,GH128"	0.245	1.184	0	0.655	0.345	0.97	0	0.734	0.38	0.231	0	0.583	0	0.212	0.321	0	0	0	0.42	0.937	0.316	0.391	0.391	0.371	0.907	0	0	0.687	0	0.927	0.428	0.246	0.246	0.34	0	0.512	0.692	0	0.343	0	0	0.56	0	0	0	0.461	0	0.613
"CBM61,GH43"	1.197	3.732	0	10.111	0.592	2.079	0.806	7.229	0.652	5.428	2.638	5.233	0.725	4.394	0.276	12.864	0.472	1.582	0.72	12.112	0	0.671	3.811	7.127	1.752	4.616	0	15.363	0.755	4.085	0.734	10.791	0.423	12.014	1.162	6.377	1.186	0.664	0	0.248	0.412	4.846	0.646	3.802	0	2.111	0	2.551
"CBM61,GH53"	0	0	0	1.264	0	0	0	0.708	0	0	0	0.563	0	0.819	0	0	0	0	0	0	0	0	1.507	0	0	0	1.165	0	0.637	0	0	0	1.421	0	0.654	0	0	0	0	0.558	0	0	0	0	0	0	0.459	0
"CBM66,GH51"	0	0	0	0.569	0.4	1.685	0	0	0	0	0	0	0.735	1.476	0.371	0.7	0	0	0	0.542	0.732	0.227	0.452	0.859	0	0.566	0	0.398	0	0	0	0.57	0	0	0	0.296	0.534	0.449	0	0	0	1.729	0	0	0.607	2.133	0	0.355
"CBM67,GH139"	0.45	0	0.292	0	0	0	0	0	0	0	1.211	0	1.749	0	1.325	0.555	0	0	1.157	0	0.29	0.36	0.897	0	0.833	0	0.139	0	0.405	0	3.146	0.226	0.451	0	0.623	0	1.059	0	0	0	0.993	0	0	0	0.193	0.564	0	0
"CBM67,GH139,GH78"	0.364	0.44	0.236	0.244	0.514	0	0.525	0.409	0.283	0	0	0	0.315	0	0.954	0	0	0	0	0.697	0	0	0.145	0.276	0.506	0	0	0	0.492	0	0.637	0	0	0.253	0.252	0	0.944	0.577	0	0	1.252	0.555	0	0	1.404	1.142	0.177	0
"CBM67,GH31"	0	0.552	0	0.458	0	0	0	0.513	0	1.291	0	0.408	0.296	0.594	0.448	0	0	0	0	0	0.442	0.547	0	0	0.317	1.367	0	0	0	0	0	0.689	0	0	0	0	0	0	0	0	0	1.566	0.524	0.805	0	0.429	0.166	0
"CBM67,GH78"	21.247	22.439	10.322	28.319	23.127	29.705	16.019	20.522	13.506	18.863	19.268	24.609	15.428	26.128	11.331	15.057	15.843	11.333	8.749	28.285	19.407	14.099	14.886	24.67	32.666	32.897	36.937	14.16	21.95	21.026	11.818	22.073	17.549	12.725	16.596	23.625	19.684	20.266	13.132	8.684	20.444	27.762	18.04	9.518	21.523	28.751	17.293	33.978
"CBM72,GH5"	1.698	5.105	0	2.795	0	2.832	0.759	2.556	0.613	0	0.709	0.47	0.571	3.879	2.245	0.996	0.444	1.983	1.354	1.543	1.681	1.262	0.63	1.998	0.366	1.428	0	2.121	3.532	4.245	0.69	1.006	2.375	1.425	0.547	2.644	1.116	6.838	1.076	1.247	0.775	2.421	1.827	0	1.353	0.99	0.384	0
"CBM78,GH5"	0	0	0	1.319	0	0	0	0.739	0	0	0	0.881	0	0.855	0.646	1.217	0	0	0	0	0	0	0.786	0.746	0	0.985	0.608	0.691	0	0	0	0.992	0	0	0	0.515	0	0	0	0	0.484	0.752	0	0	0	0	0	0
"CBM9,GH10"	0	0.629	0	1.306	0	0	0.375	0.878	0	0.368	0	0.465	0.169	0	0.256	0.482	0	0.587	0	0.747	0.252	0.624	0	0.296	0.181	0	0.481	0.547	0.878	0.739	0.341	0.589	0.587	0	0	0	0.552	0.773	0	0.462	0.192	0.298	0	0	0	0.245	0	0
"CE1,GH10"	15.727	13.002	3.731	19.545	19.493	10.121	12.639	13.317	11.784	15.173	15.824	10.346	23.939	13.64	12.612	12.384	8.316	7.613	10.456	27.216	19.846	15.427	21.054	13.264	16.156	16.344	15.892	11.736	14.738	10.635	17.674	12.812	7.885	14.43	17.733	16.479	14.258	17.068	8.635	2.641	21.212	13.225	10.771	6.856	18.68	22.171	5.294	14.453
"CE1,GH43"	0.94	2.436	0	1.27	0.683	1.881	1.229	1.06	2.517	0.402	0.604	2.874	1.779	2.455	1.193	0.79	0.753	0.481	0.831	1.279	1.021	1.813	1.159	1.1	1.893	3.175	3.56	0.812	0.981	2.14	0.373	0.768	0.491	0.592	0	0.992	0.831	0	2.216	0	1.07	2.481	2.233	1.943	0.494	1.203	0.236	4.357
"CE10,GH26"	0	0	0	0	0	0	0	0	0.727	0.588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289	0.623	0.385	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0	0.239	0	0	0	0	0.39
"CE10,GH43"	0	3.4	0	0.706	0	0	1.013	0.79	0.848	0.995	0	0	0.928	0	0	0	0	0	0	0	1.045	0	0	0	1.247	0	0	0	0.474	0	0	0.265	1.096	0	0	0.276	0.515	0	0	0	2.95	0.402	0	0	0.936	0.992	1.556	0
"CE10,GH97"	0	0	0	0	0.337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221	0	1.473	0.67	0	0	0.418	0	0.12	0	0	0	0	0	0.334	0	0	0	0	0.562	0	0	0	0.299
"CE12,GH43"	0.408	1.105	0	0.459	3.831	0	0	1.079	0.316	0	0.981	0	0.444	0.327	0.224	0	0.386	0	0	2.164	1.327	1.096	0.82	0.519	1.314	0.685	3.22	0.457	0.647	0	2.098	1.793	0.687	0	1.661	0.717	0.646	0	1.055	0	1.123	0.932	0.814	0	1.175	0.43	0.396	1.153
"CE15,GH16"	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.922	0	0	0	0	0	0	0	0.759	0	0	0	0	0	0	0	0	1.138	0	0.857	0	0	0	0	0	0	0	0	0	0	0	0
"CE15,GH28"	0.31	0.5	0.402	0.622	0	0.614	0.595	0.929	0.481	0	0	0	0	0	0	0	0	0	0.531	0	0	0.991	0	0	0.287	0	0	0.435	0	0.391	0	0	1.398	0	0	0	0.584	0.245	0	0	0	0.473	0.475	0	0	0	0.904	0.388
"CE15,GH39"	1.173	0	0.338	0	1.47	0.516	0.501	0.391	0.809	0.492	0.936	0.621	2.027	0	0	0	0	0	0.447	0.997	0	0	0.624	0	0.483	0	1.607	0	0	0	0.456	0.524	2.091	0	1.444	0	0.491	0.413	0.365	0	0.767	0.397	0.998	0	0.67	0.49	0.507	0.163
"CE15,GH97"	0.747	0.788	0.459	0.677	1.477	2.089	0.34	0.732	0.407	1.416	0.47	0	2.553	1.695	0	0	0	0	0.606	0	0.794	0.419	1.546	0.268	0.485	0	1.413	0	0.599	0	1.701	0.263	0.709	0	0.852	0.644	0	0	0.613	0	5.778	0.938	1.457	0	0.561	0	0.73	0.939
"CE3,GH5"	0	0	0	0	0	0	0	0.522	0	0	0	0.829	0	0	0	0	0.783	0	0	0	0	0	0	0	0	0	0	0	0.626	0	0	0	0.698	0	0	0.728	0	0	0	0	0	0	0	0	0	0.873	0.677	0.871
"CE4,GH11"	0.345	0	1.015	0.925	0	0	0.664	0.518	0	0.651	0.62	1.851	0.755	0.599	0.905	0	0	0	0	1.671	1.127	1.397	1.67	1.584	0.48	0.872	0	1.211	1.49	0.436	0	0.347	0	1.213	0	0.361	0	0.691	0	0.516	0.339	0	0	2.054	0.296	1.745	0.672	0.864
"CE4,GH53"	0	0.638	0	0	0	3.918	0.38	4.741	0	0	0.71	1.413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.997	0	0	0	0	0	0	0	0	0	0	0	0.603	0	0.93	0	0	0	0
"CE4,GH9"	3.652	2.847	2.272	1.077	1.23	3.324	2.82	1.705	2.911	1.6	4.225	4.193	4.847	0.504	2.245	0	0.337	0	1.984	0	2.144	0.232	4.316	0	3.808	0.533	5.176	0.361	2.237	2.129	3.755	1.995	3.327	4.335	2.628	3.925	5.267	2.752	2.012	0	4.27	1.072	0	0.342	1.778	1.01	3.907	2.744
"CE6,GH10"	0	0.434	0.349	0	0	0.533	0	0	0.209	0.507	0.483	0	1.162	0	0	0	0	0	0	0	0	0	0	0.407	0.996	0	0	0	0.242	0.34	0.47	0.271	0.27	0.374	0.372	0.281	0	1.278	0.376	0	0	0	0.412	0	0.23	0	0.262	0.337
"CE6,GH3"	0	0	0	0	0.529	0	0	0	1.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575	0	0	0	0	0.939
"CE6,GH51"	1.584	0.574	0.925	3.946	1.186	1.02	10.151	5.072	0.737	0.448	0.853	1.744	0.41	0.447	0.959	0.635	2.182	0.744	0	0.927	0.613	1.898	0.821	0.359	2.364	2.057	0.732	1.416	1.237	3.173	0.623	0.239	0.972	1.787	0.356	1.324	0.709	1.363	0.692	0.585	1.302	2.233	2.06	0	3.39	5.582	1.654	1.907
"CE7,GH5"	1.254	0.903	1.619	1.155	1.208	0.288	1.037	0	1.317	1.628	1.247	0.996	0.871	1.463	1.121	0	0.607	0.811	0.242	0	0	0.464	0	0.66	2.484	2.845	1.225	0.407	1.795	1.065	0.254	0.438	0.966	2.19	3.284	0.304	1.62	0.448	1.322	1.03	2.208	0.855	1.705	0	3.99	1.371	1.357	0.545
"CE8,GH43"	0.181	6.127	0	2.18	0	0	0	0	0	0.683	0.65	0.862	0.156	0.628	0.474	0.894	0	1.631	0	2.77	0	0.579	0	0	0	0	0	1.269	0	0.914	0	0.364	0	0.503	0	0.378	0	0	0	0	0	0.552	0	0	0.31	0.681	0	0.906
GH1	13.931	12.41	13.437	17.953	3.628	38.734	13.752	16.346	4.635	13.369	14.117	47.104	16.889	15.71	29.5	46.178	10.391	6.236	21.609	22.71	22.223	6.696	30.147	18.383	11.727	7.974	20.834	18.924	15.899	20.444	13.949	23.525	18.426	8.972	15.291	20.746	22.835	17.103	13.558	8.282	10.713	9.204	7.616	6.823	17.069	26.539	12.382	18.246
GH10	107.323	214.138	66.39	257.329	208.411	198.867	209.411	255.973	139.082	178.407	112.999	235.493	228.471	216.088	146.755	282.877	124.054	83.402	115.899	328.318	203.9	205.662	171.693	247.042	202.415	201.726	228.136	287.843	201.558	197.043	194.676	236.757	142.38	193.707	148.107	217.566	163.107	227.293	72.721	75.496	184.742	175.428	143.68	113.885	148.142	234.302	126.194	213.165
"GH10,GH43"	0	0	0	0	1.061	0	0	0	0	0	0	0	0.52	0	0	0	0	0	0	0	0.388	0	0	0.911	0	0	0	0	0.677	0	1.052	0.605	0.603	0	0	0.315	0	0	0	0	2.362	0.459	0	0	0.258	0.377	0	0
GH102	8.738	1.515	4.373	1.415	6.734	4.038	3.423	4.899	6.912	4.616	0	1.911	3.711	3.634	9.996	1.988	6.27	0	14.089	2.398	4.062	0	5.699	1.608	5.321	2.226	2.89	3.497	3.293	4.561	18.711	2.085	6.499	6.688	8.263	1.31	5.788	2.682	3.222	4.855	6.981	5.479	0.585	1.612	3.971	1.938	2.16	2.897
GH103	9.764	6.666	12.327	18.441	0	4.346	21.631	25.513	7.032	9.426	6.51	3.066	3.906	0	0	3.385	11.329	0.796	14.687	7.4	5.874	3.869	12.547	1.112	5.496	19.843	4.076	12.258	11.297	8.228	18.484	4.462	4.501	18.471	9.731	11.864	1.935	5.424	2.351	7.829	9.632	5.72	3.198	4.58	10.78	4.539	4.406	2.541
GH104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.187	0	0	0	0	0	0	0	0.526	0	5.386	0	3.069	0	0	0	5.249	0	0	0	1.974	0	0	0	0	2.782	0	0	0	0	0	0
GH105	148.628	218.225	77.773	175.73	274.702	227.174	107.405	164.62	140.818	137.845	157.472	141.807	213.985	182.881	123.617	89.953	60.415	84.392	101.984	154.13	149.371	177.103	147.235	157.699	202.249	154.467	278.684	245.411	190.917	108.558	185.649	154.708	135.781	131.16	125.335	157.49	177.127	118.479	143.146	69.448	234.922	164.829	162.678	91.217	127.252	164.012	103.652	253.345
"GH105,GH154"	0	0	0	0.53	0.402	3.14	0	0	1.058	0.747	0	0	0.247	2.062	0	0	0	0.595	0	0	0.368	0.633	0.455	1.032	0.447	0.792	0.528	0	0.613	2.001	0	0.287	0.286	1.1	0	2.138	0	0	1.352	0.337	0.56	1.341	0.437	0	0	0	0	1.21
"GH105,GH28"	5.377	8.124	2.2	9.05	16.876	11.501	5.861	6.518	8.861	9.988	2.595	5.263	9.034	6.313	4.453	7.209	1.498	2.085	4.28	7.485	10.855	7.511	10.22	9.336	8.167	6.684	23.71	4.612	6.787	2.995	9.876	10.859	8.197	2.679	7.211	10.235	8.83	10.336	3.912	0.915	13.988	5.503	7.57	4.026	9.626	8.944	3.922	8.831
GH106	51.36	62.05	18.495	78.383	82.686	97.855	51.722	81.069	42.747	82.887	43.576	73.758	75.901	72.471	43.469	55.201	26.898	47.08	26.285	81.342	51.142	58.22	49.228	76.104	79.938	62.243	89.925	63.239	52.226	58.06	42.624	53.306	46.051	60.26	42.849	69.021	54.108	65.607	31.217	26.064	55.209	63.035	51.579	28.386	44.714	58.083	34.101	88.96
"GH106,GH28"	0	3.465	0	1.438	0	0	0.516	0.201	0	0.507	0	1.6	0	0.466	0	0	0	0.606	0	0	0.347	0.43	0	0	0	0	0	0.377	0	0.339	0.47	0	0	0.746	0	0.281	0	0	0	0	0	0.205	0	1.896	0.23	0.674	0.261	1.177
GH108	17.846	1.192	51.288	6.476	24.003	4.494	19.935	17.155	30.814	9.546	31.451	8.08	19.39	9.419	29.874	20.737	20.477	12.994	34.288	16.437	21.628	17.911	21.279	17.307	13.405	15.926	23.122	6.218	10.278	17.366	32.758	9.802	25.942	9.541	26.963	5.896	42.486	24.213	15.974	10.54	17.632	10.103	26.739	5.648	25.429	5.676	40.133	0
GH109	58.879	78.949	36.53	119.32	113.94	123.351	85.204	137.308	69.514	148.204	64.906	125.758	127.186	134.125	71.688	105.338	41.305	75.282	46.74	105.424	73.806	114.099	77.213	159.491	149.965	137.698	61.859	83.082	111.564	107.949	63.976	112.367	84.424	104.147	75.22	105.756	103.073	107.969	49.723	45.575	81.208	133.891	80.362	45.596	102.393	129.703	67.611	131.323
GH11	10.047	19.793	14.124	46.177	15.689	33.086	44.123	40.549	13.165	30.9	3.691	48.053	15.01	39.548	8.806	77.159	27.368	9.201	17.69	91.173	26.146	30.054	18.33	49.869	24.591	32.977	2.709	99.535	22.194	44.179	19.161	53.573	23.528	59.457	21.851	39.208	22.537	54.391	18.884	24.874	11.553	22.209	5.868	33.292	14.608	58.157	25.391	21.79
GH110	1.63	5.376	5.28	4.043	8.919	12.09	5.819	12.208	4.599	8.003	0.514	6.578	9.977	9.539	5.112	5.922	6.831	5.071	2.418	2.359	6.161	18.822	1.757	5.417	11.891	11.26	4.986	6.675	6.922	6.227	12.583	5.55	8.975	7.186	11.402	6.021	6.968	3.424	3.43	2.508	4.344	3.858	7.612	6.332	11.969	16.934	3.677	5.52
GH113	2.003	0	0	5.222	1.412	3.754	7.563	0	13.105	0	4.836	2.807	3.969	11.648	3.193	0	4.678	0	2.913	0	3.073	0	7.757	3.977	5.693	4.667	10.286	2.368	5.026	0	11.812	5.009	7.246	1.555	0	3.827	2.292	2.605	7.61	0.414	5.458	3.956	3.618	3.13	3.269	2.379	5.38	2.495
GH114	12.224	1.387	14.011	5.877	1.558	6.969	6.775	0	3.361	3.469	0	2.886	3.238	8.079	0	0	4.849	0	0	6.539	13.509	5.957	5.093	4.391	4.516	8.439	3.49	1.175	1.496	3.591	3.058	9.022	6.887	2.345	4.641	5.227	2.608	5.84	4.787	1.45	3.084	4.219	4.448	2.303	0.591	2.384	3.844	4.335
GH115	51.393	98.361	20.697	97.64	135.01	117.541	78.335	114.338	62.319	77.786	64.548	99.165	106.949	132.421	60.87	73.518	35.612	39.656	68.539	85.783	92.919	100.171	78.639	96.106	81.875	75.044	142.543	107.58	91.479	55.907	74.641	74.238	63.533	61.349	59.803	104.66	88.033	86.603	50.026	25.885	109.204	94.647	80.448	38.019	85.491	108.111	36.361	132.765
"GH115,GH31"	1.562	0.944	0	1.045	5.231	1.934	0.75	0.731	0.303	0.368	1.227	1.976	1.856	0.508	0.767	1.446	0.439	1.173	1.339	0.56	1.889	0.624	2.647	1.034	2.35	0.39	0.481	0.958	0.702	0.493	1.024	0.393	0.587	1.084	2.703	3.469	1.655	2.163	0.546	0	1.245	1.637	0.598	0	2.592	0.734	0.285	0.488
GH116	1.32	11.791	7.178	9.594	6.88	4.403	10.468	7.532	2.474	7.797	3.58	10.12	9.342	8.721	5.94	6.839	5.079	6.133	3	5.606	5.817	9.886	3.312	15.393	8.598	4.667	8.31	4.081	8.863	7.25	13.184	12.115	12.527	8.865	8.094	2.619	12.16	10.036	7.703	2.839	4.073	3.251	5.25	4.355	2.835	6.713	2.924	10.494
GH117	0.612	0	0.794	0	0.862	0	2.937	0.916	0.949	0.702	1.098	0	2.228	0	2.577	0	0	0	0	0	0.789	0	0	0	0	0	2.986	0	0	0	0	0	0	3.855	0.847	0	0.576	0.968	0.855	0.723	0.6	0.932	1.873	0	1.73	0	0.594	0
GH119	0	0	0	0.513	0	0	0	0.575	0.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0.612	0.29	0	0	0	0	3.277	0	0	0	0	0	0.531	0.401	0.361	0	1.073	0	1.505	0	0	0	0.328	0.24	0.373	0
GH120	2.989	5.044	7.885	8.793	5.534	14.695	11.896	16.841	7.178	11.524	3.375	29.044	13.405	27.876	10.393	19.989	5.494	7.584	14.95	20.582	12.374	8.11	7.024	24.06	7.883	15.513	9.578	3.912	13.853	11.447	10.797	27.358	16.736	12.27	5.714	8.2	12.97	30.734	2.96	3.281	5.68	9.282	8.11	15.152	13.697	19.978	6.276	5.382
GH123	1.762	8.364	0.973	4.337	8.85	16.747	1.459	11.162	2.535	5.645	8.582	9.157	11.421	23.478	6.772	6.139	4.082	4.825	8.785	7.078	7.89	8.687	5.6	11.576	8.752	9.804	6.505	7.018	7.527	7.28	7	9.066	6.3	3.767	6.049	8.419	8.401	6.863	7.061	2.205	7.261	14.321	8.562	3.485	3.612	12.748	6.175	11.033
GH124	2.02	0.814	1.044	0	0	0	0	0.911	0	4.239	0	2.087	1.417	0	0	1.502	0	2.428	0	8.879	3.693	0	0.855	3.57	2.635	2.842	1.992	6.722	0	2.212	3.803	2.522	0	4.223	1.485	3.186	2.304	2.252	0	0.634	0	1.859	0	0	0	3.561	1.115	3.04
GH125	22.587	28.281	15.859	52.506	23.713	55.811	24.07	52.112	24.852	33.847	30.006	57.315	32.374	55.95	19.468	22.084	15.587	20.331	23.365	37.417	18.691	40.173	22.773	52.879	39.072	57.834	28.554	38.664	34.945	48.296	29.088	31.9	21.659	33.783	20.746	38.135	28.724	47.65	12.127	16.296	26.854	43.403	21.963	26.477	26.149	50.275	23.083	56.524
"GH125,GH92"	0	0.315	0.254	1.309	0.552	0	0	0.293	0.911	0.369	0	0	1.267	0	0	0	0	0	0.335	0	0.252	0.313	0	0	0	0.391	0	0.548	0.352	0.247	1.197	0.59	0.196	0	0	0.409	0.276	0	0	0	0.576	0.447	0	0	0.503	0.736	0	0
GH126	0	0	2.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.404	2.056	0	0
GH127	73.885	122.936	32.673	122.222	112.934	133.481	77.008	127.94	81.143	109.127	84.479	109.862	98.301	144.704	83.258	103.23	32.839	47.746	47.958	112.048	87.494	120.57	77.693	151.367	97.626	112.903	164.599	111.908	102.822	80.951	86.984	89.428	67.907	89.031	60.182	128.972	82.106	109.902	53.211	39.682	125.423	130.696	84.534	47.025	65.814	109.268	55.192	147.296
GH128	7.639	11.559	1.579	7.318	14.582	23.55	8.775	22.043	12.028	14.589	7.868	11.341	10.389	15.184	6.902	4.992	1.727	4.972	10.36	8.991	5.715	14.362	9.144	14.053	9.572	14.848	14.859	6.654	7.535	9.393	5.43	11.84	6.697	12.032	7.848	11.015	14.455	10.612	3.153	4.036	4.859	14.006	7.235	3.81	7.588	11.572	4.804	12.118
GH129	0.728	1.387	0	1.151	1.213	0	0	0	0	0	2.851	1.025	0	0.631	0	0	1.637	0	0	0	0.938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.685	1.152	0	0	0	1.109	0	0	1.36	0	0	0
GH13	672.064	746.804	352.545	772.557	681.706	755.524	571.751	825.175	641.952	730.317	644.166	794.906	750.95	789.708	522.657	747.818	338.401	274.905	456.758	936.239	624.081	652.585	563.837	789.262	667.554	656.26	779.491	843.891	717.104	609.532	592.399	792.254	584.225	656.611	576.786	775.208	603.678	612.031	363.347	291.27	645.381	655.435	582.368	360.379	588.326	783.87	520.936	942.156
GH130	126.048	130.868	60.226	132.557	109.658	104.716	87.905	135.931	87.593	117.324	150.456	130.758	131.722	150.998	89.694	117.331	69.106	55.29	80.236	148.215	127.55	104.156	104.961	150.092	142.705	123.021	157.793	107.011	131.119	113.596	114.071	145.963	85.391	105.648	124.199	140.817	127.191	119.427	57.188	42.296	115.775	110.488	82.182	54.791	89.905	137.191	92.122	111.55
GH133	85.51	77.45	35.531	111.613	97.547	97.479	85.487	106.373	81.765	93.702	86.45	91.068	124.652	93.904	39.318	54.568	36.236	47.973	56.157	94.647	87.273	83.988	74.546	115.585	110.062	109.377	129.948	71.114	73.728	58.052	72.124	75.409	77.473	78.232	83.192	97.326	71.63	89.439	55.298	33.356	89.393	90.227	110.778	46.716	72.771	96.361	78.114	123.587
GH136	1.684	0.889	0	0	6.397	0	1.671	4.099	1.534	0	2.137	0.839	5.815	7.746	3.072	4.851	0	3.338	0	1.161	0.97	1.966	0.6	1.754	1.667	1.408	4.248	0.976	1.882	1.211	1.727	0.756	0.616	2.299	2.743	4.266	2.651	1.102	0.86	0	0.738	3.061	1.513	0	1.775	2.972	2.118	0.618
GH137	10.881	5.102	5.531	14.385	39.701	17.122	8.834	13.548	12.191	13.131	12.611	10.97	11.87	16.18	3.923	11.154	3.925	1.968	9.63	9.27	4.944	11.708	18.886	15.061	11.372	21.059	48.7	25.741	10.06	9.3	4.913	12.696	2.795	9.803	8.844	8.661	14.958	6.99	7.75	3.468	19.963	10.845	17.915	5.277	6.237	10.879	3.829	25.176
"GH137,GH2"	0.217	0	0.342	0.353	5.293	0.86	0	0.325	1.98	0.249	0.863	0	2.178	0.188	1.727	1.187	0.723	0	0.904	1.009	2.559	0	2.066	0	1.888	0.434	5.034	0.797	0.628	0	2.305	0.646	0	0	1.095	0.276	0.745	0	1.667	0.448	2.42	1.558	2.646	1.402	0.777	0.238	0.211	1.103
GH138	5.858	8.079	3.342	12.958	12.644	13.833	5.112	14.338	6.713	11.941	5.11	6.169	10.291	15.775	6.935	6.609	3.117	10.23	2.211	7.429	6.901	9.142	3.598	10.486	9.684	9.457	21.458	13.054	8.32	9.952	11.529	6.275	2.27	7.392	3.981	13.481	8.89	14.685	9.79	6.615	11.041	12.741	8.806	8.729	6.084	4.905	9.218	16.727
GH139	1.893	4.611	1.228	3.606	22.39	8.447	4.744	4.751	11.935	4.865	5.252	3.497	9.057	1.693	0.584	0	0.597	0.896	3.282	3.779	8.171	1.26	2.465	2.61	7.214	4.377	23.562	10.644	7.138	1.146	6.121	3.014	4.767	0.828	4.398	4.854	2.722	2.552	9.09	2.752	10.817	4.941	13.47	5.199	3.189	2.918	5.465	15.009
GH140	13.171	30.964	1.369	25.634	40.045	22.47	18.31	22.287	19.438	31.946	10.26	22.883	33.693	24.538	11.567	14.9	8.168	7.927	13.908	23.968	20.066	21.707	23.509	25.566	21.73	22.163	62.282	23.165	11.654	15.172	12.809	19.191	14.048	15.754	11.628	25.965	16.603	12.777	16.373	13.068	34.033	18.188	26.23	19.275	16.521	31.909	9.801	48.618
