	BJ24L	BJ24S	KJ25L	KJ25S	KB14L	KB14S	KJ15L	KJ15S	BB24L	BB24S	BJ25L	BJ25S	KM14L	KM14S	KM15L	KM15S	BJ14L	BJ14S	KM25L	KM25S	BM24L	BM24S	BM15L	BM15S	BB14L	BB14S	KB15L	KB15S	KJ14L	KJ14S	BM25L	BM25S	KJ24L	KJ24S	BJ15L	BJ15S	BM14L	BM14S	BB15L	BB15S	KB24L	KB24S	KB25L	KB25S	KM24L	KM24S	BB25L	BB25S
GH81	3.686	1.787	1.115	0	1.866	0	0	1.018	1.333	0	1.542	0	1.113	0	0	0	0	0.645	0	0	0	0	0	0	0	0	0	0	0	0	0.751	0	0	0	0.594	0.449	0	0	0.95	0	0	1.036	0.657	0	0.582	0	1.078	0
GH84	0	1.672	1.87	8.328	4.748	5.082	7.745	5.751	0.431	10.964	1.044	2.325	3.025	3.943	2.835	1.943	1.392	0.989	1.666	16.444	3.805	21.674	3.477	1.573	7.248	14.925	7.229	9.037	8.96	5.186	4.072	5.961	5.503	3.628	7.747	8.106	5.64	9.383	6.096	4.214	1.947	17.153	5.819	8.757	7.011	6.5	3.433	10.441
GH85	0	2.577	0	1.37	0	2.197	2.012	2.093	0	7.249	5.642	0	0	3.168	1.733	0	0	0	0	0	0	0	0	0	0	4.09	0	0	0.921	0	0	2.446	2.015	0	0	0	1.14	1.915	2.278	0	0	11.187	1.604	2.845	1.133	1.517	1.018	1.655
GH87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.132	0	0	0	0	0	0	0	0	0	0	0	6.055	0	0	0	1.737	0	1.199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH88	18.86	52.19	21.514	64.064	60.728	51.774	32.644	48.075	28.345	58.267	32.933	63.449	34.645	66.603	33.717	38.826	16.3	34.622	20.272	51.838	31.451	41.969	23.554	58.928	51.245	44.113	59.084	41.702	37.984	36.663	21.592	46.284	37.571	39.835	22.645	58.496	30.272	40.791	27.397	13.255	49.071	63.216	37.928	17.609	30.436	57.636	22.48	78.061
GH89	26.248	54.998	23.024	60.526	30.867	66.819	43.967	59.364	41.541	48.445	28.125	48.704	55.712	46.819	29.638	39.849	27.108	33.748	29.666	59.623	29.663	39.146	33.301	68.899	53.214	56.54	41.15	30.372	30.785	48.859	35.909	46.759	28.85	34.24	36.462	50.129	54.944	44.814	35.842	11.834	41.33	63.861	35.776	17.393	39.591	57.946	27.782	58.781
GH9	81.238	136.677	64.1	229.537	98.888	164.699	192.965	274.618	68.308	182.953	101.901	215.458	148.763	205.481	94.414	286.022	104.14	93.567	68.542	397.743	161.027	165.366	99.844	235.078	141.694	164.779	111.933	423.864	162.091	225.594	150.155	241.226	97.999	239.526	107.54	204.059	123.159	185.266	69.696	82.184	98.922	164.608	83.651	143.475	122.149	232.706	104.165	178.568
GH92	162.678	239.37	67.333	264.558	156.854	277.706	232.615	296.58	130.169	249.053	189.882	249.628	220.169	314.849	146.615	175.602	83.529	174.012	159.15	305.826	166.369	249.032	155.515	310.187	262.244	320.58	148.826	188.179	214.879	233.064	192.826	248.118	127.056	178.515	144.674	293.93	212.949	247.302	75.349	65.473	167.608	280.574	140.852	98.505	178.457	288.261	140.656	274.337
GH93	3.956	8.197	0.834	10.299	2.986	4.602	3.395	6.067	3.26	6.667	1.39	4.435	5.14	5.497	7.42	4.599	4.925	1.316	1.375	7.37	3.292	6.909	0.269	11.957	5.953	10.408	3.239	10.89	5.144	8.439	1.867	10.453	3.027	4.424	2.4	5.857	1.708	5.477	1.494	2.432	0.408	6.859	7.397	10.798	4.064	7.455	3.28	13.455
GH94	24.603	36.308	16.353	47.268	37.949	29.13	36.661	25.965	30.87	44.666	28.783	51.124	39.539	44.494	24.443	73.973	20.157	16.139	23.178	120.849	30.242	41.91	26.188	62.452	32.905	30.46	59.083	114.72	33.711	27.271	36.603	81.262	26.988	46.575	29.158	55.456	37.045	25.524	24.808	18.09	36.675	26.231	32.131	23.275	37.914	48.409	16.326	50.766
"GH94,GT84"	0.446	0.719	1.375	0.821	0.944	0	0.964	0.334	0.866	0.631	1.201	0.332	1.831	0.387	0.584	0.275	0.69	0.335	0.765	0.213	0.144	0.357	0.801	0.338	0.826	0	0.894	0.313	1.154	0.141	0.39	0.617	1.286	0.542	0.154	0.233	0.315	0	0.156	0.132	0.492	0.425	0.854	0	0.334	0.28	0.921	0.907
GH95	67.276	103.479	31.375	136.315	144.539	151.972	97.361	122.04	71.664	118.1	77.545	108.944	135.033	137.811	64.881	89.497	41.714	57.44	77.138	141.462	108.379	106.092	98.417	125.307	111.13	119.856	154.401	91.746	112.377	87.581	95.476	107.052	75.826	71.034	73.704	132.294	83.905	107.459	40.058	30.329	107.742	116.561	82.291	52.915	91.098	144.628	58.835	133.089
GH97	200.425	315.117	105.99	306.489	237.68	264.191	222.315	309.876	180.199	267.141	240.052	277.895	302.543	304.183	158.829	221.462	102.358	168.185	150.74	313.385	271.051	282.593	202.185	424.146	252.777	285.613	297.742	235.796	226.39	196.077	238.034	274.326	184.623	208.525	190.733	331.324	247.426	271.357	123.74	93.085	278.06	285.77	191.262	116.346	201.735	307.128	167.161	319.444
GH98	7.899	11.221	2.071	9.151	19.848	26.128	9.374	17.143	5.897	11.687	5.975	16.652	11.902	15.067	10.909	6.022	2.532	2.375	14.595	8.17	8.069	17.881	16.214	15.82	12.873	12.398	18.409	11.542	6.793	4.3	14.683	15.449	3.299	9.367	6.157	16.027	15.384	18.615	7.347	4.694	18.423	28.245	4.764	7.478	13.302	19.828	2.896	10.458
GH99	1.038	1.853	0.764	1.914	0	2.056	3.648	0	0	5.351	2.477	0	2.508	4.467	1.688	0	1.953	8.287	0	0	1.483	2.613	1.768	1.626	5.762	1.747	1.697	1.429	1.611	1.946	1.444	2.484	0	1.147	0.991	0	4.746	1.593	0.548	0	0.385	2.046	3.137	3.244	1.32	6.556	0.762	0.542
