Names	Feed	Collection	Breed	Fraction	Group.Fc	Group.Fb	Group.Fp	Group.Cb	Group.Cp	Group.Bp	Group.Fcb	Group.Fcp	Group.Cbp	Group.all	BarPlot
BJ11S	Jowar	Collection-1	Bikaneri	Solid	Jowar1	JowarBikaneri	JowarSolid	1Bikaneri	1Solid	BikaneriSolid	Jowar1Bikaneri	Jowar1Solid	1BikaneriSolid	Jowar1BikaneriSolid	1B1
BJ12L	Jowar	Collection-2	Bikaneri	Liquid	Jowar2	JowarBikaneri	JowarLiquid	2Bikaneri	2Liquid	BikaneriLiquid	Jowar2Bikaneri	Jowar2Liquid	2BikaneriLiquid	Jowar2BikaneriLiquid	2B1
BJ12S	Jowar	Collection-2	Bikaneri	Solid	Jowar2	JowarBikaneri	JowarSolid	2Bikaneri	2Solid	BikaneriSolid	Jowar2Bikaneri	Jowar2Solid	2BikaneriSolid	Jowar2BikaneriSolid	2B1
BJ13L	Jowar	Collection-3	Bikaneri	Liquid	Jowar3	JowarBikaneri	JowarLiquid	3Bikaneri	3Liquid	BikaneriLiquid	Jowar3Bikaneri	Jowar3Liquid	3BikaneriLiquid	Jowar3BikaneriLiquid	3B1
BJ13S	Jowar	Collection-3	Bikaneri	Solid	Jowar3	JowarBikaneri	JowarSolid	3Bikaneri	3Solid	BikaneriSolid	Jowar3Bikaneri	Jowar3Solid	3BikaneriSolid	Jowar3BikaneriSolid	3B1
BJ14L	Jowar	Collection-4	Bikaneri	Liquid	Jowar4	JowarBikaneri	JowarLiquid	4Bikaneri	4Liquid	BikaneriLiquid	Jowar4Bikaneri	Jowar4Liquid	4BikaneriLiquid	Jowar4BikaneriLiquid	4B1
BJ14S	Jowar	Collection-4	Bikaneri	Solid	Jowar4	JowarBikaneri	JowarSolid	4Bikaneri	4Solid	BikaneriSolid	Jowar4Bikaneri	Jowar4Solid	4BikaneriSolid	Jowar4BikaneriSolid	4B1
BJ15L	Jowar	Collection-5	Bikaneri	Liquid	Jowar5	JowarBikaneri	JowarLiquid	5Bikaneri	5Liquid	BikaneriLiquid	Jowar5Bikaneri	Jowar5Liquid	5BikaneriLiquid	Jowar5BikaneriLiquid	5B1
BJ15S	Jowar	Collection-5	Bikaneri	Solid	Jowar5	JowarBikaneri	JowarSolid	5Bikaneri	5Solid	BikaneriSolid	Jowar5Bikaneri	Jowar5Solid	5BikaneriSolid	Jowar5BikaneriSolid	5B1
BJ21L	Jowar	Collection-1	Bikaneri	Liquid	Jowar1	JowarBikaneri	JowarLiquid	1Bikaneri	1Liquid	BikaneriLiquid	Jowar1Bikaneri	Jowar1Liquid	1BikaneriLiquid	Jowar1BikaneriLiquid	1B2
BJ21S	Jowar	Collection-1	Bikaneri	Solid	Jowar1	JowarBikaneri	JowarSolid	1Bikaneri	1Solid	BikaneriSolid	Jowar1Bikaneri	Jowar1Solid	1BikaneriSolid	Jowar1BikaneriSolid	1B2
BJ22L	Jowar	Collection-2	Bikaneri	Liquid	Jowar2	JowarBikaneri	JowarLiquid	2Bikaneri	2Liquid	BikaneriLiquid	Jowar2Bikaneri	Jowar2Liquid	2BikaneriLiquid	Jowar2BikaneriLiquid	2B2
BJ22S	Jowar	Collection-2	Bikaneri	Solid	Jowar2	JowarBikaneri	JowarSolid	2Bikaneri	2Solid	BikaneriSolid	Jowar2Bikaneri	Jowar2Solid	2BikaneriSolid	Jowar2BikaneriSolid	2B2
BJ23L	Jowar	Collection-3	Bikaneri	Liquid	Jowar3	JowarBikaneri	JowarLiquid	3Bikaneri	3Liquid	BikaneriLiquid	Jowar3Bikaneri	Jowar3Liquid	3BikaneriLiquid	Jowar3BikaneriLiquid	3B2
