Names	Feed	Collection	Breed	Fraction	Group.Fc	Group.Fb	Group.Fp	Group.Cb	Group.Cp	Group.Bp	Group.Fcb	Group.Fcp	Group.Cbp	Group.all	BarPlot
KJ15S	Jowar	Collection-5	Kachchhi	Solid	Jowar5	JowarKachchhi	JowarSolid	5Kachchhi	5Solid	KachchhiSolid	Jowar5Kachchhi	Jowar5Solid	5KachchhiSolid	Jowar5KachchhiSolid	5K1
KJ21L	Jowar	Collection-1	Kachchhi	Liquid	Jowar1	JowarKachchhi	JowarLiquid	1Kachchhi	1Liquid	KachchhiLiquid	Jowar1Kachchhi	Jowar1Liquid	1KachchhiLiquid	Jowar1KachchhiLiquid	1K2
KJ21S	Jowar	Collection-1	Kachchhi	Solid	Jowar1	JowarKachchhi	JowarSolid	1Kachchhi	1Solid	KachchhiSolid	Jowar1Kachchhi	Jowar1Solid	1KachchhiSolid	Jowar1KachchhiSolid	1K2
KJ22L	Jowar	Collection-2	Kachchhi	Liquid	Jowar2	JowarKachchhi	JowarLiquid	2Kachchhi	2Liquid	KachchhiLiquid	Jowar2Kachchhi	Jowar2Liquid	2KachchhiLiquid	Jowar2KachchhiLiquid	2K2
KJ22S	Jowar	Collection-2	Kachchhi	Solid	Jowar2	JowarKachchhi	JowarSolid	2Kachchhi	2Solid	KachchhiSolid	Jowar2Kachchhi	Jowar2Solid	2KachchhiSolid	Jowar2KachchhiSolid	2K2
KJ23L	Jowar	Collection-3	Kachchhi	Liquid	Jowar3	JowarKachchhi	JowarLiquid	3Kachchhi	3Liquid	KachchhiLiquid	Jowar3Kachchhi	Jowar3Liquid	3KachchhiLiquid	Jowar3KachchhiLiquid	3K2
KJ23S	Jowar	Collection-3	Kachchhi	Solid	Jowar3	JowarKachchhi	JowarSolid	3Kachchhi	3Solid	KachchhiSolid	Jowar3Kachchhi	Jowar3Solid	3KachchhiSolid	Jowar3KachchhiSolid	3K2
KJ24L	Jowar	Collection-4	Kachchhi	Liquid	Jowar4	JowarKachchhi	JowarLiquid	4Kachchhi	4Liquid	KachchhiLiquid	Jowar4Kachchhi	Jowar4Liquid	4KachchhiLiquid	Jowar4KachchhiLiquid	4K2
KJ24S	Jowar	Collection-4	Kachchhi	Solid	Jowar4	JowarKachchhi	JowarSolid	4Kachchhi	4Solid	KachchhiSolid	Jowar4Kachchhi	Jowar4Solid	4KachchhiSolid	Jowar4KachchhiSolid	4K2
KJ25L	Jowar	Collection-5	Kachchhi	Liquid	Jowar5	JowarKachchhi	JowarLiquid	5Kachchhi	5Liquid	KachchhiLiquid	Jowar5Kachchhi	Jowar5Liquid	5KachchhiLiquid	Jowar5KachchhiLiquid	5K2
KJ25S	Jowar	Collection-5	Kachchhi	Solid	Jowar5	JowarKachchhi	JowarSolid	5Kachchhi	5Solid	KachchhiSolid	Jowar5Kachchhi	Jowar5Solid	5KachchhiSolid	Jowar5KachchhiSolid	5K2
KM11L	Makai	Collection-1	Kachchhi	Liquid	Makai1	MakaiKachchhi	MakaiLiquid	1Kachchhi	1Liquid	KachchhiLiquid	Makai1Kachchhi	Makai1Liquid	1KachchhiLiquid	Makai1KachchhiLiquid	1K1
KM11S	Makai	Collection-1	Kachchhi	Solid	Makai1	MakaiKachchhi	MakaiSolid	1Kachchhi	1Solid	KachchhiSolid	Makai1Kachchhi	Makai1Solid	1KachchhiSolid	Makai1KachchhiSolid	1K1
KM12L	Makai	Collection-2	Kachchhi	Liquid	Makai2	MakaiKachchhi	MakaiLiquid	2Kachchhi	2Liquid	KachchhiLiquid	Makai2Kachchhi	Makai2Liquid	2KachchhiLiquid	Makai2KachchhiLiquid	2K1
KM12S	Makai	Collection-2	Kachchhi	Solid	Makai2	MakaiKachchhi	MakaiSolid	2Kachchhi	2Solid	KachchhiSolid	Makai2Kachchhi	Makai2Solid	2KachchhiSolid	Makai2KachchhiSolid	2K1
KM13L	Makai	Collection-3	Kachchhi	Liquid	Makai3	MakaiKachchhi	MakaiLiquid	3Kachchhi	3Liquid	KachchhiLiquid	Makai3Kachchhi	Makai3Liquid	3KachchhiLiquid	Makai3KachchhiLiquid	3K1
KM13S	Makai	Collection-3	Kachchhi	Solid	Makai3	MakaiKachchhi	MakaiSolid	3Kachchhi	3Solid	KachchhiSolid	Makai3Kachchhi	Makai3Solid	3KachchhiSolid	Makai3KachchhiSolid	3K1
KM14L	Makai	Collection-4	Kachchhi	Liquid	Makai4	MakaiKachchhi	MakaiLiquid	4Kachchhi	4Liquid	KachchhiLiquid	Makai4Kachchhi	Makai4Liquid	4KachchhiLiquid	Makai4KachchhiLiquid	4K1
KM14S	Makai	Collection-4	Kachchhi	Solid	Makai4	MakaiKachchhi	MakaiSolid	4Kachchhi	4Solid	KachchhiSolid	Makai4Kachchhi	Makai4Solid	4KachchhiSolid	Makai4KachchhiSolid	4K1
