Class	BB14L	BB14S	BB15L	BB15S	BB24L	BB24S	BB25L	BB25S	BJ14L	BJ14S	BJ15L	BJ15S	BJ24L	BJ24S	BJ25L	BJ25S	BM14L	BM14S	BM15L	BM15S	BM24L	BM24S	BM25L	BM25S	KB14L	KB14S	KB15L	KB15S	KB24L	KB24S	KB25L	KB25S	KJ14L	KJ14S	KJ15L	KJ15S	KJ24L	KJ24S	KJ25L	KJ25S	KM14L	KM14S	KM15L	KM15S	KM24L	KM24S	KM25L	KM25S
G	70148.89	67201.12	55698.29	53825.14	58697.12	67493.53	57655.04	71133.31	56778.06	59253.29	61749.34	75301.49	62092.55	69757.19	60914.92	78353.03	66924.18	70968.77	60679.2	75507.87	66982.34	64765.58	63997.75	72171.96	67357.02	70254.16	70168.44	74920.04	67326.38	67014.47	60828.35	55855.25	66381.52	69340.4	63628.64	71970.25	61176.03	64703.61	47151.18	72760.19	70209.69	72827.97	63873.9	70033.66	62875.3	71577.42	59241.56	75329.42
GH	2.11	3.57	16.91	0	7.58	4.43	22.49	0	9.19	10.13	40.64	2.36	14.25	3.58	0	0	0	5.78	12.05	2.31	9.83	6.39	6.72	0	22.66	6.7	4.12	0	8.48	10.86	3.41	0	0	7.19	3.2	9.64	10.69	14.72	16.69	0	18.18	0	0	0	3.37	5.02	10.42	3.32
GM	567.94	566.69	388.88	384.66	443.84	518.08	407.63	490.1	480.38	513.01	447.77	598.06	436.55	556.06	431.13	638.47	469.86	570.05	417.27	497.68	421.58	587.83	390.86	462.79	394.26	663.31	366.11	419.64	330.52	427.54	343.22	414.28	470.27	588.75	598.29	489.96	455.91	577.02	403.81	517.07	418.76	522.75	564.28	582.85	463.04	504.98	531.34	440.92
H	20748.71	22712.2	19741.51	18250.92	20987.4	22315.53	18759.17	21029.6	18421.84	19474.58	20061.8	20370.99	19313.72	20825.73	19067.74	20127.2	20695.84	21803.13	18968.13	19377.8	20691.26	23371.32	21242.72	19507.98	22491.12	22013.7	22366.81	18881.52	20859.64	22212.9	21514.94	18947.15	21535.98	20473.86	21260.99	23205.13	20165.67	21266.97	15988.22	23192.96	22197.03	21130.08	19284.68	17647.53	20426.21	22243.19	19441.46	17989.24
HI	46.82	50.03	36.75	48.82	17.52	20.47	23.75	31.31	35.7	59.87	39.25	68.86	54.97	106.67	63.58	113.02	26.15	35.64	26.9	56.51	36.2	75.52	27.41	74.78	23.9	30.25	18.89	56.59	33.9	41.52	26.78	56.19	24.53	83.99	28.51	53.36	34.21	66.58	12.3	67.76	38.58	59.79	47.76	95.63	23.35	65.45	21.82	28.99
HJ	60.26	66.9	83.36	113.23	63.32	62.48	201.32	34.98	199.96	67.27	226.75	104.45	212.28	361.04	458.5	117.89	99.78	102.61	101.44	129.3	157.57	114.15	154.65	139.72	28.93	55.06	46.42	74.7	67.44	85.77	105.33	95.41	171.76	148.98	200.16	93.85	268.18	285.78	176.85	114.53	107.33	67.5	214.72	162.98	122.26	80.49	176.17	83.79
I	19640.13	20784.07	16573.97	15939.83	18545.11	19522.25	16593.37	20102.31	19927.21	18530.27	18030.06	19366.26	16936.04	18338.62	18156.69	19065.43	19586.51	19411.34	17275.51	19083.97	18684.76	19469.77	17943.9	18799.39	19491.58	19536.55	19613.53	18642.37	18620.55	19408.67	18906.17	17205.49	19265.62	18762.45	19090.55	20691.8	17806.87	19183.59	14701.45	20417.98	20251.54	19698.06	17497.18	17066.05	18396.1	19879.38	17109.02	18519.15
IM	320.73	374	232.44	164.35	255.86	322.29	146.75	284.44	245	246.18	264.9	390.83	244.26	261.92	259.19	257.86	223.82	375.44	262.23	389.38	218.5	337.16	224.59	346.97	184.57	275.67	168.7	354.33	271.37	311.68	238.37	128.15	225.96	279.17	356.44	301.76	243.82	340.3	169.08	323.18	245.03	400.78	239.34	310.37	245.99	370.02	201	439.81
IQ	1425.23	1309.54	1355.18	1024.28	1489.39	1267.87	1108.21	1530.73	1432.31	1040.74	1565.33	1656.9	1561.49	1560.08	1529.42	1529.71	1592.7	1612.02	1496.63	1717.12	1641.46	1540.87	1562.92	1500.73	1804.21	1315.11	1735.74	1288.14	1875.02	1466.98	1366.64	1049.85	1660.48	1448.57	1362.81	1398.7	1539.9	1552.22	927.81	1606.94	1937.58	1540.24	1359.57	1152.06	1553.68	1757.93	1282.57	1163.96
J	74193.01	71029.74	66653.49	57227.93	71192.84	71299.93	73579.74	68022.91	66189.49	61428.71	74801.09	68872.73	75951.29	68944.55	72164.61	65926.86	68312.6	64788.88	68815.3	69036.97	69211.8	70706.18	73232.84	71565.69	69192.47	67609.6	63141.12	66981.4	71990.21	71879.44	68225.25	60912.19	70071.28	70706.36	74473.87	68119.86	72988.13	68651.81	66166.82	69324.28	67587.77	66216.9	71200.94	73998.66	69356.65	67211.75	70914.75	71569.76
